subjID,cost,goal,exptPart,trialNumber,roleCurrent,marblesSampled,probRed,practiceLambda,trialLambda,instructedLambda,drawnRed,reportedRed,inferredRed,playerTrialScore,oppTrialScore,playerTotalScore,oppTotalScore,waitTime,responseTime,catchQuestion,catchKey,catchResponse,catchTime,trialTime
visitor-s773h,unif,over,practice,1,sender,100,0.5,5,"[0.3, 8.1, 21.9]","['honest', 'dishonest_small', 'dishonest_big']",51,58,53,2,-2,2,-2,2769.9579165111245,1678388261016,"How many <b class=""r"">red</b> marbles did you actually draw (before any changes)? ",51,58,1678388261016,0
visitor-s773h,unif,over,practice,2,receiver,100,0.5,5,"[0.3, 8.1, 21.9]","['honest', 'dishonest_small', 'dishonest_big']",62,73,65,-3,3,-1,1,6006.295788924956,1678388301367,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",73,73,1678388301367,0
visitor-s773h,unif,over,trial,1,receiver,100,0.5,5,21.9,honest,60,89,80,-20,20,-20,20,5657.267620148152,1678388320847,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",89,89,1678388320847,0
visitor-s773h,unif,over,trial,2,receiver,100,0.5,5,21.9,honest,71,96,55,-16,0,-36,20,7299.84312240472,1678388342999,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1678388320847,0
visitor-s773h,unif,over,trial,3,receiver,100,0.5,5,21.9,honest,59,78,45,-14,0,-50,20,7372.210707685901,1678388355655,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1678388320847,0
visitor-s773h,unif,over,trial,4,receiver,100,0.5,5,21.9,honest,24,40,15,-9,0,-59,20,5545.856801906641,1678388368277,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1678388320847,0
visitor-s773h,unif,over,trial,5,receiver,100,0.5,5,21.9,honest,52,65,37,-15,0,-74,20,7092.2406338842065,1678388380359,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1678388380359,0
visitor-s773h,unif,over,trial,96,receiver,100,0.5,5,21.9,honest,55,75,70,-15,15,-89,35,6478.121074731926,1678388392254,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1678388380359,0
visitor-s773h,unif,over,trial,97,receiver,100,0.5,5,21.9,honest,14,32,12,-2,0,-91,35,6273.688044238481,1678388403053,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1678388380359,0
visitor-s773h,unif,over,trial,98,receiver,100,0.5,5,21.9,honest,40,52,35,-5,0,-96,35,7017.101708347737,1678388414726,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1678388380359,0
visitor-s773h,unif,over,trial,99,receiver,100,0.5,5,21.9,honest,54,72,55,-1,1,-97,36,6387.669262525975,1678388424671,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",72,72,1678388424671,0
visitor-s773h,unif,over,trial,100,receiver,100,0.5,5,21.9,honest,25,37,26,-1,1,-98,37,7033.74693389972,1678388440614,"How many <b class=""r"">red</b> marbles did your opponent report drawing? ",-1,-1,1678388440615,0
